file,group,line,text,style,take,sample_rate,seconds,peak
command-nagure-normal-1.wav,command,nagure,殴れ,normal,1,48000,2.200,0.4373
command-nagure-normal-2.wav,command,nagure,殴れ,normal,2,48000,2.301,0.5226
command-nagure-normal-3.wav,command,nagure,殴れ,normal,3,48000,2.552,0.3767
command-nagure-shout-1.wav,command,nagure,殴れ,shout,1,48000,2.309,0.5799
command-nagure-shout-2.wav,command,nagure,殴れ,shout,2,48000,2.464,0.5370
command-nagure-shout-3.wav,command,nagure,殴れ,shout,3,48000,2.387,0.3772
command-nagure-fast-1.wav,command,nagure,殴れ,fast,1,48000,1.992,0.5076
command-nagure-fast-2.wav,command,nagure,殴れ,fast,2,48000,1.992,0.4028
command-nagure-fast-3.wav,command,nagure,殴れ,fast,3,48000,1.859,0.3658
command-nagure-long-1.wav,command,nagure,殴れ,long,1,48000,2.963,0.4272
command-nagure-long-2.wav,command,nagure,殴れ,long,2,48000,3.051,0.4333
command-nagure-long-3.wav,command,nagure,殴れ,long,3,48000,3.760,0.3213
command-kick-normal-1.wav,command,kick,キック,normal,1,48000,2.349,0.2431
command-kick-normal-2.wav,command,kick,キック,normal,2,48000,2.451,0.3127
command-kick-normal-3.wav,command,kick,キック,normal,3,48000,2.451,0.2809
command-kick-shout-1.wav,command,kick,キック,shout,1,48000,2.832,0.6102
command-kick-shout-2.wav,command,kick,キック,shout,2,48000,2.419,0.2510
command-kick-shout-3.wav,command,kick,キック,shout,3,48000,2.640,0.3818
command-kick-fast-1.wav,command,kick,キック,fast,1,48000,1.891,0.3092
command-kick-fast-2.wav,command,kick,キック,fast,2,48000,2.061,0.2252
command-kick-fast-3.wav,command,kick,キック,fast,3,48000,1.912,0.2620
command-kick-long-1.wav,command,kick,キック,long,1,48000,2.523,0.2966
command-kick-long-2.wav,command,kick,キック,long,2,48000,2.701,0.1836
command-kick-long-3.wav,command,kick,キック,long,3,48000,2.581,0.2053
command-gyorai-normal-1.wav,command,gyorai,魚雷,normal,1,48000,2.240,0.6892
command-gyorai-normal-2.wav,command,gyorai,魚雷,normal,2,48000,2.621,0.6543
command-gyorai-normal-3.wav,command,gyorai,魚雷,normal,3,48000,3.240,0.4524
command-gyorai-shout-1.wav,command,gyorai,魚雷,shout,1,48000,2.341,0.5932
command-gyorai-shout-2.wav,command,gyorai,魚雷,shout,2,48000,2.563,0.3584
command-gyorai-shout-3.wav,command,gyorai,魚雷,shout,3,48000,2.520,0.7135
command-gyorai-fast-1.wav,command,gyorai,魚雷,fast,1,48000,1.691,0.5840
command-gyorai-fast-2.wav,command,gyorai,魚雷,fast,2,48000,1.872,0.4995
command-gyorai-fast-3.wav,command,gyorai,魚雷,fast,3,48000,2.051,0.3278
command-gyorai-long-1.wav,command,gyorai,魚雷,long,1,48000,2.709,0.5829
command-gyorai-long-2.wav,command,gyorai,魚雷,long,2,48000,3.000,0.5400
command-gyorai-long-3.wav,command,gyorai,魚雷,long,3,48000,2.981,0.6104
command-ryuko-normal-1.wav,command,ryuko,龍虎水雷撃,normal,1,48000,3.640,0.4802
command-ryuko-normal-2.wav,command,ryuko,龍虎水雷撃,normal,2,48000,3.640,0.4417
command-ryuko-normal-3.wav,command,ryuko,龍虎水雷撃,normal,3,48000,3.101,0.5152
command-ryuko-shout-1.wav,command,ryuko,龍虎水雷撃,shout,1,48000,3.320,0.5007
command-ryuko-shout-2.wav,command,ryuko,龍虎水雷撃,shout,2,48000,3.843,0.4350
command-ryuko-shout-3.wav,command,ryuko,龍虎水雷撃,shout,3,48000,3.523,0.4430
command-ryuko-fast-1.wav,command,ryuko,龍虎水雷撃,fast,1,48000,2.211,0.5845
command-ryuko-fast-2.wav,command,ryuko,龍虎水雷撃,fast,2,48000,2.091,0.4175
command-ryuko-fast-3.wav,command,ryuko,龍虎水雷撃,fast,3,48000,2.309,0.5122
command-ryuko-long-1.wav,command,ryuko,龍虎水雷撃,long,1,48000,4.472,0.6757
command-ryuko-long-2.wav,command,ryuko,龍虎水雷撃,long,2,48000,4.792,0.5163
command-ryuko-long-3.wav,command,ryuko,龍虎水雷撃,long,3,48000,4.221,0.3972
command-sase-normal-1.wav,command,sase,刺せ,normal,1,48000,2.075,0.5310
command-sase-normal-2.wav,command,sase,刺せ,normal,2,48000,2.123,0.5454
command-sase-normal-3.wav,command,sase,刺せ,normal,3,48000,2.261,0.4184
command-sase-shout-1.wav,command,sase,刺せ,shout,1,48000,2.192,0.4433
